order_id,customer_id,product_code,amount,payment,order_datetime
ORD-2024-00001,C001,ELEC-TV-55UHD,580000,신용카드,2024-01-05 14:23:11
ORD2024-00002,C002,FASH_TOP_M_BLK,45000,카카오페이,2024/01/07 09:05:33
ORD-2024-00003,C003,ELEC-PHN-IPHONE15,1350000,신용카드,2024-01-08 18:44:02
20240110-00004,C004,FOOD.COFFEE.BLEND,22000,네이버페이,2024.01.10 11:22:45
ORD-2024-00005,C005,ELEC-TAB-IPAD,950000,무통장입금,2024-01-12 16:07:58
ORD-2024-00006,C001,FASH-SHOES-WHT,89000,카카오페이,2024-01-15 10:30:21
ORD2024-00007,C006,FOOD_SNACK_CHOCO,8500,신용카드,2024/01/17 20:15:09
ORD-2024-00008,C007,ELEC-LAPTOP-LG,1200000,신용카드,2024-01-19 13:55:37
20240120-00009,C008,HOME.CHAIR.MESH,320000,무통장입금,2024.01.20 09:41:00
ORD-2024-00010,C009,FASH-BAG-LEATHER,175000,네이버페이,2024-01-22 17:28:44
ORD-2024-00011,C010,ELEC-TV-65UHD,780000,신용카드,2024-01-25 14:10:33
ORD2024-00012,C002,HOME_DESK_STAND,55000,카카오페이,2024/01/27 08:55:19
ORD-2024-00013,C011,FOOD-PROTEIN-VAN,35000,신용카드,2024-01-29 21:03:47
20240201-00014,C012,ELEC.EAR.BUDS,130000,네이버페이,2024.02.01 12:44:22
ORD-2024-00015,C013,FASH-COAT-WOOL,210000,무통장입금,2024-02-03 15:37:58
ORD-2024-00016,C014,HOME-LAMP-LED,42000,카카오페이,2024-02-05 19:20:11
ORD2024-00017,C003,ELEC-PHN-GALAXY,1100000,신용카드,2024/02/07 10:08:36
ORD-2024-00018,C015,FOOD_TEA_GREEN,18000,신용카드,2024-02-09 16:52:04
20240210-00019,C004,FASH.JEANS.SLIM,75000,네이버페이,2024.02.10 11:19:27
ORD-2024-00020,C005,ELEC-MONITOR-27,450000,무통장입금,2024-02-12 14:33:15
